MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom
21823642,1695000.0,85718,-110.917749,32.300739,1.11,19110,2008,6,6,7855.0,3.0,3,180.0,1,0,0,1,215.78612348822406,282500.0,1.0
21713244,1645000.0,85718,-110.877434,32.33054,0.97,13214,2011,6,5,5443.0,3.0,4,259.0,1,0,1,0,302.2230387653867,274166.6666666667,0.8333333333333334
21402064,1450000.0,85750,-110.838615,32.329529,6.52,12737,1993,4,5,4897.0,3.0,2,128.0,1,0,0,1,296.09965284868287,362500.0,1.25
21123657,1700000.0,85750,-110.844064,32.329358,0.48,10061,1998,3,3,3871.0,3.0,3,117.0,0,1,0,1,439.1630069749419,566666.6666666666,1.0
21509039,2272554.0,85658,-111.097984,32.472085,2.45,2593,2015,3,4,4724.0,2.0,1,550.0,1,0,0,1,481.06562235393733,757518.0,1.3333333333333333
21525697,1768000.0,85658,-111.093975,32.469749,0.6,1795,2016,3,4,4100.0,3.0,2,550.0,1,0,0,1,431.219512195122,589333.3333333334,1.3333333333333333
21808730,1865705.0,85658,-111.094305,32.472169,0.61,1989,2018,3,4,3300.0,3.0,3,0.0,1,0,0,1,565.3651515151515,621901.6666666666,1.3333333333333333
21427813,1600000.0,85715,-110.859359,32.263948,1.06,9301,2002,5,5,5954.0,3.0,4,48.0,1,0,0,1,268.72690628149144,320000.0,1.0
21513530,1675000.0,85745,-111.070641,32.225806,3.4,9083,2008,4,4,6550.0,3.0,1,0.0,0,1,0,1,255.72519083969465,418750.0,1.0
21609967,1610000.0,85718,-110.946612,32.341676,1.0,5178,2016,4,5,4427.0,3.0,1,153.0,0,1,0,1,363.67743392816806,402500.0,1.25
21303975,1600000.0,85718,-110.917606,32.296197,3.5,11720,2000,4,7,7037.0,3.0,6,130.0,1,0,0,1,227.36961773483017,400000.0,1.75
21300903,1600000.0,85658,-111.046669,32.481937,1.7,18373,2008,4,5,6050.0,4.0,5,132.0,1,0,0,1,264.46280991735534,400000.0,1.25
21714557,1647313.0,85750,-110.848604,32.321979,0.5,17095,1998,6,8,8213.0,4.0,3,135.0,1,0,0,1,200.57384634116644,274552.1666666667,1.3333333333333333
21905180,1690000.0,85718,-110.948431,32.348022,1.48,13525,2005,5,5,4779.0,4.0,3,157.0,1,0,1,0,353.6304666248169,338000.0,1.0
21721961,1695000.0,85658,-111.052,32.4831,1.5,21602,2008,4,5,5376.0,3.0,3,152.0,1,0,0,1,315.29017857142856,423750.0,1.25
21902018,1595000.0,85750,-110.843481,32.299534,0.86,15324,2000,5,6,6938.0,3.0,3,33.0,1,0,0,1,229.893341020467,319000.0,1.2
21731602,1375000.0,85658,-111.053886,32.481265,2.53,20352,2006,4,6,5743.0,4.0,2,143.0,1,0,1,0,239.42190492773813,343750.0,1.5
21911822,1900000.0,85718,-110.927652,32.294339,2.09,12326,1993,4,4,5022.0,3.0,4,5.0,0,1,0,1,378.3353245718837,475000.0,1.0
21528436,1500000.0,85658,-111.061766,32.466472,2.06,15711,2007,3,4,3670.0,3.0,3,143.0,1,0,0,1,408.7193460490463,500000.0,1.3333333333333333
