MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category,lat_lon
21603540,675000.0,85749,-110.725574,32.295495,3.26,5782,1987,5,4,4037.0,7.0,1,0.0,0,1,0,1,167.20336883824623,135000.0,0.8,0,32.295495-110.725574
21221092,1750000.0,85658,-111.095519,32.471311,0.47,11139,2008,4,5,4724.0,3.0,2,550.0,1,0,0,1,370.4487722269264,437500.0,1.25,1,32.471311-111.095519
21802632,575000.0,85630,-110.126758,31.869823,72.62,5794,2007,4,3,3577.0,4.0,2,40.0,0,1,0,1,160.74923119932905,143750.0,0.75,0,31.869823-110.126758
21731602,1375000.0,85658,-111.053886,32.481265,2.53,20352,2006,4,6,5743.0,4.0,2,143.0,1,0,1,0,239.42190492773813,343750.0,1.5,1,32.481265-111.053886
21729516,575000.0,85718,-110.938319,32.324322,1.06,4356,1978,3,3,2685.0,2.0,1,15.45,0,1,1,0,214.15270018621973,191666.66666666663,1.0,1,32.324322-110.938319
21208991,620000.0,85750,-110.853815,32.287964,1.03,4995,1992,3,2,2429.0,2.0,2,120.0,1,0,0,1,255.2490736928777,206666.66666666663,0.6666666666666666,1,32.287964-110.853815
21828671,700000.0,85742,-111.017746,32.353534,1.13,5197,2009,4,4,2767.0,3.0,1,12.0,1,0,0,1,252.9815684857246,175000.0,1.0,1,32.353534-111.017746
21506056,678751.73,85755,-110.983817,32.4652,0.3,1080,2015,3,3,2550.0,3.0,0,167.0,0,1,0,1,266.17714901960784,226250.57666666663,1.0,1,32.4652-110.983817
21700178,550000.0,85750,-110.865166,32.299459,0.63,4782,1987,4,3,3229.0,2.0,1,33.0,0,1,0,1,170.33137194177763,137500.0,0.75,0,32.299459-110.865166
21404943,605000.0,85742,-111.029216,32.358455,1.25,6220,2000,3,3,2747.0,3.0,1,65.0,0,1,0,1,220.2402621041136,201666.66666666663,1.0,1,32.358455-111.029216
