MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category,lat_lon
21522970,970000.0,85742,-111.026605,32.415574,3.31,12012,2008,3,4,4526.0,3.0,3,130.0,1,0,0,1,214.3172779496244,323333.3333333333,1.3333333333333333,1,32.415574-111.026605
21802889,540000.0,85718,-110.875907,32.319833,0.71,6281,1992,4,4,3155.0,3.0,2,0.0,0,1,0,1,171.1568938193344,135000.0,1.0,0,32.319833-110.875907
21527464,600000.0,85658,-111.054653,32.417471,0.19,1030,2015,3,4,2503.0,2.0,1,48.0,1,0,0,1,239.71234518577708,200000.0,1.3333333333333333,1,32.417471-111.054653
21831008,970000.0,85755,-110.969462,32.460562,0.86,12460,1997,5,5,4895.0,3.0,4,132.0,0,1,1,0,198.16138917262512,194000.0,1.0,0,32.460562-110.969462
21609608,623787.0,85719,-110.941995,32.231485,0.22,4614,1924,4,4,3667.0,1.0,2,0.0,0,1,0,1,170.10826288519226,155946.75,1.0,0,32.231485-110.941995
21324646,3700000.0,85718,-110.912156,32.343601,6.73,25094,2002,5,7,5238.0,3.0,1,421.0,1,0,0,1,706.3764795723558,740000.0,1.4,1,32.343601-110.912156
21600750,540000.0,85749,-110.753141,32.301718,3.33,5623,1998,4,3,2757.0,3.0,1,0.0,0,1,0,1,195.8650707290533,135000.0,0.75,0,32.301718-110.753141
21602395,895000.0,85718,-110.920702,32.29673,1.14,9076,1997,4,6,4225.0,3.0,2,146.0,1,0,0,1,211.8343195266272,223750.0,1.5,0,32.29673-110.920702
21908467,897176.0,85718,-110.937434,32.309846,1.27,7467,2014,4,4,3468.0,3.0,2,0.0,1,0,1,0,258.7012687427912,224294.0,1.0,1,32.309846-110.937434
21800729,652000.0,85716,-110.926325,32.225752,0.75,3678,1938,3,3,3627.0,2.0,2,0.0,0,1,0,1,179.76288944030878,217333.3333333333,1.0,0,32.225752-110.926325
21809729,570000.0,85730,-110.746657,32.184365,3.4,4577,1968,4,3,3023.0,3.0,1,0.0,0,1,1,0,188.5544161429044,142500.0,0.75,0,32.184365-110.746657
21706065,705000.0,85718,-110.898771,32.276082,0.43,6661,2002,5,4,3834.0,2.0,1,45.0,0,1,0,1,183.8810641627543,141000.0,0.8,0,32.276082-110.898771
21308200,715000.0,85718,-110.939594,32.343457,0.84,5286,1982,4,3,3253.0,2.0,4,112.0,0,1,0,1,219.797110359668,178750.0,0.75,1,32.343457-110.939594
21502192,699000.0,85755,-110.950525,32.451172,1.05,7393,2000,4,3,3161.0,3.0,1,67.0,0,1,0,1,221.13255298956025,174750.0,0.75,1,32.451172-110.950525
21219768,505000.0,85704,-111.000907,32.335082,5.25,7668,1947,8,7,8914.0,2.0,3,0.0,1,0,0,1,56.652456809513126,63125.0,0.875,0,32.335082-111.000907
21914768,880000.0,85749,-110.745519,32.290768,3.2,9075,1985,4,5,5638.0,4.0,4,0.0,1,0,0,1,156.08371763036538,220000.0,1.25,0,32.290768-110.745519
21331920,1950000.0,85718,-110.933703,32.304249,13.16,16354,1936,7,8,5645.0,2.0,7,0.0,0,1,0,1,345.43844109831707,278571.4285714286,1.1428571428571428,1,32.304249-110.933703
21805707,1150000.0,85749,-110.806103,32.254868,7.83,8681,1958,2,2,3100.0,4.0,2,0.0,0,1,0,1,370.96774193548384,575000.0,1.0,1,32.254868-110.806103
21823665,650000.0,85711,-110.902312,32.218111,0.43,3261,1946,5,4,3837.0,2.0,0,0.0,0,1,0,1,169.40317956737033,130000.0,0.8,0,32.218111-110.902312
21521427,580000.0,85749,-110.765106,32.273277,1.67,5036,1999,4,3,3237.0,3.0,2,55.0,0,1,0,1,179.1782514674081,145000.0,0.75,0,32.273277-110.765106
21421118,850000.0,85658,-111.061879,32.461137,1.23,13995,2006,4,6,3682.0,3.0,2,148.0,1,0,0,1,230.85279739272136,212500.0,1.5,1,32.461137-111.061879
21307898,635000.0,85704,-110.954241,32.381589,0.98,6265,1989,4,4,3494.0,3.0,2,25.0,0,1,0,1,181.740125930166,158750.0,1.0,0,32.381589-110.954241
21613647,1200000.0,85718,-110.925289,32.315217,1.02,10372,2005,5,6,4984.0,3.0,3,187.0,0,1,0,1,240.77046548956665,240000.0,1.2,1,32.315217-110.925289
21825611,760000.0,85658,-111.088754,32.459086,0.66,11444,2005,4,5,4334.0,3.0,1,83.0,0,1,0,1,175.3576372865713,190000.0,1.25,0,32.459086-111.088754
21202936,675000.0,85658,-111.095782,32.459268,0.86,8478,2007,3,4,3811.0,3.0,2,84.0,0,1,0,1,177.1188664392548,225000.0,1.3333333333333333,0,32.459268-111.095782
21909318,600000.0,85755,-110.984509,32.445952,0.33,1288,2017,4,4,3312.0,3.0,0,135.0,0,1,1,0,181.15942028985503,150000.0,1.0,0,32.445952-110.984509
21825321,552549.0,85737,-110.9604,32.417147,0.2,0,2018,4,3,3045.0,3.0,0,110.0,0,1,0,1,181.46108374384235,138137.25,0.75,0,32.417147-110.9604
3045347,550000.0,85614,-111.008754,31.841141,0.99,3702,2007,2,3,3514.0,3.0,1,1200.0,0,1,0,1,156.51678998292545,275000.0,1.5,0,31.841141-111.008754
21125852,730000.0,85755,-110.960934,32.461086,1.09,7938,1998,3,4,3583.0,4.0,4,170.0,0,1,0,1,203.73988277979348,243333.3333333333,1.3333333333333333,0,32.461086-110.960934
21618752,1055000.0,85755,-111.011428,32.471093,1.05,16162,2014,3,4,3903.0,3.0,1,194.0,1,0,0,1,270.3048936715347,351666.6666666667,1.3333333333333333,1,32.471093-111.011428
21730863,1550000.0,85718,-110.946908,32.348191,1.12,15969,2005,4,5,4630.0,3.0,3,169.0,1,0,1,0,334.7732181425486,387500.0,1.25,1,32.348191-110.946908
21803951,785000.0,85749,-110.756365,32.268453,8.77,9313,1975,4,3,3598.0,12.0,3,0.0,0,1,0,1,218.17676486937188,196250.0,0.75,1,32.268453-110.756365
21726794,1185000.0,85718,-110.892288,32.332135,1.3,17693,1973,5,6,9548.0,3.0,3,258.0,1,0,0,1,124.1097612065354,237000.0,1.2,0,32.332135-110.892288
21809201,550000.0,85623,-110.756247,32.596316,2.91,4800,1977,3,3,2735.0,3.0,2,0.0,0,1,0,1,201.0968921389397,183333.3333333333,1.0,0,32.596316-110.756247
21910363,625000.0,85755,-110.984983,32.464256,0.28,1431,2017,3,3,2758.0,2.0,0,232.0,0,1,1,0,226.61348803480783,208333.3333333333,1.0,1,32.464256-110.984983
21630156,1400000.0,85750,-110.813046,32.285893,0.84,11291,2003,3,4,5187.0,2.0,0,1270.0,1,0,0,1,269.9055330634278,466666.6666666667,1.3333333333333333,1,32.285893-110.813046
